Series_reference,Period,Data_value,name,STATUS,UNITS,Magnitude,Subject,Group,Series_title_1,Series_title_2,Series_title_3,Series_title_4
BDCQ.SF2DDCA,2016.09,2732.58,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 1),Purchases and operating expenditure,"Electricity, Gas, Water and Waste Services",Current,Unadjusted
BDCQ.SF2DDCA,2016.12,2442.683,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 1),Purchases and operating expenditure,"Electricity, Gas, Water and Waste Services",Current,Unadjusted
BDCQ.SF2DDCA,2017.03,2469.755,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 1),Purchases and operating expenditure,"Electricity, Gas, Water and Waste Services",Current,Unadjusted
BDCQ.SF2DDCA,2017.06,3015.831,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 1),Purchases and operating expenditure,"Electricity, Gas, Water and Waste Services",Current,Unadjusted
BDCQ.SF2DDCA,2017.09,3369.306,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 1),Purchases and operating expenditure,"Electricity, Gas, Water and Waste Services",Current,Unadjusted
BDCQ.SF2DDCA,2017.12,3083.561,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 1),Purchases and operating expenditure,"Electricity, Gas, Water and Waste Services",Current,Unadjusted
BDCQ.SF2DDCA,2018.03,2925.038,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 1),Purchases and operating expenditure,"Electricity, Gas, Water and Waste Services",Current,Unadjusted
BDCQ.SF2DDCA,2018.06,3014.68,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 1),Purchases and operating expenditure,"Electricity, Gas, Water and Waste Services",Current,Unadjusted
BDCQ.SF2DDCA,2018.09,3197.053,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 1),Purchases and operating expenditure,"Electricity, Gas, Water and Waste Services",Current,Unadjusted
BDCQ.SF2DDCA,2018.12,3835.478,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 1),Purchases and operating expenditure,"Electricity, Gas, Water and Waste Services",Current,Unadjusted
BDCQ.SF2DDCA,2019.03,3505.597,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 1),Purchases and operating expenditure,"Electricity, Gas, Water and Waste Services",Current,Unadjusted
BDCQ.SF2DDCA,2019.06,3359.512,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 1),Purchases and operating expenditure,"Electricity, Gas, Water and Waste Services",Current,Unadjusted
BDCQ.SF2DDCA,2019.09,3635.558,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 1),Purchases and operating expenditure,"Electricity, Gas, Water and Waste Services",Current,Unadjusted
BDCQ.SF2DDCA,2019.12,3139.026,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 1),Purchases and operating expenditure,"Electricity, Gas, Water and Waste Services",Current,Unadjusted
BDCQ.SF2DDCA,2020.03,2963.378,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 1),Purchases and operating expenditure,"Electricity, Gas, Water and Waste Services",Current,Unadjusted
BDCQ.SF2DDCA,2020.06,3273.143,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 1),Purchases and operating expenditure,"Electricity, Gas, Water and Waste Services",Current,Unadjusted
BDCQ.SF2DDCA,2020.09,3756.528,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 1),Purchases and operating expenditure,"Electricity, Gas, Water and Waste Services",Current,Unadjusted
BDCQ.SF2DDCA,2020.12,3287.998,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 1),Purchases and operating expenditure,"Electricity, Gas, Water and Waste Services",Current,Unadjusted
BDCQ.SF2DDCA,2021.03,3979.464,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 1),Purchases and operating expenditure,"Electricity, Gas, Water and Waste Services",Current,Unadjusted
BDCQ.SF2DDCA,2021.06,5148.809,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 1),Purchases and operating expenditure,"Electricity, Gas, Water and Waste Services",Current,Unadjusted
